home_team,away_team,date,home_team_box,away_team_box,pt20_scorers,pt30_scorers,pt40_scorers,pt50_scorers
TOR,NOP,2019-10-22,"{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '42', 'FGA': '103', 'FG%': '.408', '3P': '14', '3PA': '40', '3P%': '.350', 'FT': '32', 'FTA': '38', 'FT%': '.842', 'ORB': '16', 'DRB': '41', 'TRB': '57', 'AST': '23', 'STL': '7', 'BLK': '3', 'TOV': '16', 'PF': '24', 'PTS': '130', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '43', 'FGA': '102', 'FG%': '.422', '3P': '19', '3PA': '45', '3P%': '.422', 'FT': '17', 'FTA': '20', 'FT%': '.850', 'ORB': '16', 'DRB': '37', 'TRB': '53', 'AST': '30', 'STL': '4', 'BLK': '9', 'TOV': '19', 'PF': '34', 'PTS': '122', '+/-': nan}",4,2,0,0
LAC,LAL,2019-10-22,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '81', 'FG%': '.519', '3P': '11', '3PA': '31', '3P%': '.355', 'FT': '17', 'FTA': '24', 'FT%': '.708', 'ORB': '11', 'DRB': '34', 'TRB': '45', 'AST': '24', 'STL': '8', 'BLK': '5', 'TOV': '14', 'PF': '25', 'PTS': '112', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '85', 'FG%': '.435', '3P': '13', '3PA': '33', '3P%': '.394', 'FT': '15', 'FTA': '21', 'FT%': '.714', 'ORB': '9', 'DRB': '32', 'TRB': '41', 'AST': '20', 'STL': '4', 'BLK': '7', 'TOV': '14', 'PF': '24', 'PTS': '102', '+/-': nan}",4,0,0,0
CHO,CHI,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '45', 'FGA': '88', 'FG%': '.511', '3P': '23', '3PA': '44', '3P%': '.523', 'FT': '13', 'FTA': '16', 'FT%': '.813', 'ORB': '9', 'DRB': '32', 'TRB': '41', 'AST': '28', 'STL': '3', 'BLK': '4', 'TOV': '19', 'PF': '18', 'PTS': '126', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '49', 'FGA': '105', 'FG%': '.467', '3P': '9', '3PA': '30', '3P%': '.300', 'FT': '18', 'FTA': '22', 'FT%': '.818', 'ORB': '20', 'DRB': '29', 'TRB': '49', 'AST': '25', 'STL': '11', 'BLK': '4', 'TOV': '10', 'PF': '20', 'PTS': '125', '+/-': nan}",4,1,0,0
ORL,CLE,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '86', 'FG%': '.430', '3P': '9', '3PA': '30', '3P%': '.300', 'FT': '11', 'FTA': '19', 'FT%': '.579', 'ORB': '7', 'DRB': '39', 'TRB': '46', 'AST': '24', 'STL': '12', 'BLK': '4', 'TOV': '13', 'PF': '18', 'PTS': '94', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '33', 'FGA': '88', 'FG%': '.375', '3P': '9', '3PA': '34', '3P%': '.265', 'FT': '10', 'FTA': '15', 'FT%': '.667', 'ORB': '10', 'DRB': '44', 'TRB': '54', 'AST': '20', 'STL': '8', 'BLK': '2', 'TOV': '16', 'PF': '15', 'PTS': '85', '+/-': nan}",1,0,0,0
IND,DET,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '89', 'FG%': '.461', '3P': '8', '3PA': '21', '3P%': '.381', 'FT': '20', 'FTA': '24', 'FT%': '.833', 'ORB': '10', 'DRB': '26', 'TRB': '36', 'AST': '26', 'STL': '8', 'BLK': '6', 'TOV': '15', 'PF': '28', 'PTS': '110', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '78', 'FG%': '.526', '3P': '11', '3PA': '24', '3P%': '.458', 'FT': '26', 'FTA': '33', 'FT%': '.788', 'ORB': '10', 'DRB': '35', 'TRB': '45', 'AST': '26', 'STL': '5', 'BLK': '6', 'TOV': '18', 'PF': '21', 'PTS': '119', '+/-': nan}",5,1,0,0
PHI,BOS,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '85', 'FG%': '.435', '3P': '7', '3PA': '29', '3P%': '.241', 'FT': '26', 'FTA': '36', 'FT%': '.722', 'ORB': '12', 'DRB': '50', 'TRB': '62', 'AST': '24', 'STL': '6', 'BLK': '7', 'TOV': '15', 'PF': '34', 'PTS': '107', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '33', 'FGA': '90', 'FG%': '.367', '3P': '7', '3PA': '26', '3P%': '.269', 'FT': '20', 'FTA': '34', 'FT%': '.588', 'ORB': '10', 'DRB': '31', 'TRB': '41', 'AST': '18', 'STL': '4', 'BLK': '2', 'TOV': '10', 'PF': '29', 'PTS': '93', '+/-': nan}",3,0,0,0
MIA,MEM,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '85', 'FG%': '.471', '3P': '7', '3PA': '18', '3P%': '.389', 'FT': '33', 'FTA': '39', 'FT%': '.846', 'ORB': '11', 'DRB': '40', 'TRB': '51', 'AST': '18', 'STL': '9', 'BLK': '8', 'TOV': '21', 'PF': '33', 'PTS': '120', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '89', 'FG%': '.427', '3P': '5', '3PA': '32', '3P%': '.156', 'FT': '20', 'FTA': '30', 'FT%': '.667', 'ORB': '9', 'DRB': '31', 'TRB': '40', 'AST': '22', 'STL': '9', 'BLK': '7', 'TOV': '24', 'PF': '31', 'PTS': '101', '+/-': nan}",2,0,0,0
SAS,NYK,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '83', 'FG%': '.506', '3P': '7', '3PA': '21', '3P%': '.333', 'FT': '29', 'FTA': '36', 'FT%': '.806', 'ORB': '10', 'DRB': '41', 'TRB': '51', 'AST': '22', 'STL': '6', 'BLK': '5', 'TOV': '21', 'PF': '18', 'PTS': '120', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '44', 'FGA': '94', 'FG%': '.468', '3P': '10', '3PA': '30', '3P%': '.333', 'FT': '13', 'FTA': '18', 'FT%': '.722', 'ORB': '5', 'DRB': '34', 'TRB': '39', 'AST': '24', 'STL': '16', 'BLK': '1', 'TOV': '14', 'PF': '32', 'PTS': '111', '+/-': nan}",4,0,0,0
DAL,WAS,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '35', 'FGA': '76', 'FG%': '.461', '3P': '11', '3PA': '36', '3P%': '.306', 'FT': '27', 'FTA': '33', 'FT%': '.818', 'ORB': '5', 'DRB': '41', 'TRB': '46', 'AST': '17', 'STL': '6', 'BLK': '5', 'TOV': '19', 'PF': '22', 'PTS': '108', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '93', 'FG%': '.398', '3P': '11', '3PA': '41', '3P%': '.268', 'FT': '15', 'FTA': '18', 'FT%': '.833', 'ORB': '11', 'DRB': '36', 'TRB': '47', 'AST': '26', 'STL': '6', 'BLK': '3', 'TOV': '17', 'PF': '32', 'PTS': '100', '+/-': nan}",2,1,0,0
UTA,OKC,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '90', 'FG%': '.444', '3P': '6', '3PA': '24', '3P%': '.250', 'FT': '14', 'FTA': '20', 'FT%': '.700', 'ORB': '11', 'DRB': '38', 'TRB': '49', 'AST': '15', 'STL': '4', 'BLK': '5', 'TOV': '11', 'PF': '31', 'PTS': '100', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '32', 'FGA': '83', 'FG%': '.386', '3P': '10', '3PA': '27', '3P%': '.370', 'FT': '21', 'FTA': '31', 'FT%': '.677', 'ORB': '7', 'DRB': '41', 'TRB': '48', 'AST': '15', 'STL': '5', 'BLK': '4', 'TOV': '13', 'PF': '23', 'PTS': '95', '+/-': nan}",4,1,0,0
