home_team,away_team,date,deflections,charges_drawn,screen_assists,loose_balls_recovered,box_outs,pts_off_tov,second_chance_pts,fastbreak_pts,pts_in_paint,distance_run,hocket_assists,total_passes
TOR,NOP,2019-10-22,39,8,15,18,42,42.0,28.0,33.0,94.0,40.29,11,742
LAC,LAL,2019-10-22,34,4,14,23,46,42.0,18.0,27.0,82.0,33.480000000000004,6,557
CHO,CHI,2019-10-23,23,2,10,17,20,42.0,29.0,46.0,120.0,37.71,7,600
ORL,CLE,2019-10-23,21,2,25,8,37,22.0,15.0,24.0,92.0,36.09,6,575
IND,DET,2019-10-23,38,1,18,14,26,31.0,36.0,20.0,96.0,35.620000000000005,4,592
PHI,BOS,2019-10-23,24,4,12,16,49,31.0,33.0,22.0,102.0,35.43,3,525
MIA,MEM,2019-10-23,32,1,21,13,25,48.0,31.0,32.0,116.0,38.1,3,608
BKN,MIN,2019-10-23,30,0,43,13,29,29.0,22.0,28.0,120.0,37.68,3,556
SAS,NYK,2019-10-23,29,1,18,14,40,48.0,21.0,59.0,112.0,37.81,6,553
DAL,WAS,2019-10-23,27,2,11,12,21,35.0,31.0,34.0,80.0,36.129999999999995,2,618
UTA,OKC,2019-10-23,23,2,26,6,45,18.0,19.0,25.0,92.0,34.3,3,494
POR,DEN,2019-10-23,32,2,11,8,21,30.0,30.0,22.0,76.0,35.94,8,575
PHO,SAC,2019-10-23,34,0,14,18,48,41.0,33.0,38.0,102.0,36.7,5,538
DET,ATL,2019-10-24,28,1,20,18,46,33.0,20.0,22.0,96.0,33.849999999999994,5,542
HOU,MIL,2019-10-24,25,5,11,17,40,31.0,24.0,44.0,80.0,35.64,6,557
GSW,LAC,2019-10-24,36,2,22,10,25,34.0,19.0,44.0,98.0,36.370000000000005,6,619
CHO,MIN,2019-10-25,36,0,13,15,26,38.0,24.0,22.0,100.0,36.1,4,645
BOS,TOR,2019-10-25,28,4,21,12,35,34.0,23.0,22.0,90.0,34.32,5,599
BKN,NYK,2019-10-25,21,1,28,15,46,53.0,27.0,34.0,66.0,33.46,4,494
MEM,CHI,2019-10-25,33,0,15,24,47,28.0,34.0,41.0,108.0,36.23,4,578
NOP,DAL,2019-10-25,38,1,14,18,17,37.0,21.0,43.0,110.0,37.48,6,617
OKC,WAS,2019-10-25,22,3,13,20,36,28.0,16.0,17.0,88.0,36.010000000000005,5,594
DEN,PHO,2019-10-25,27,4,13,19,48,37.0,17.0,24.0,96.0,37.26,7,624
SAC,POR,2019-10-25,34,1,25,9,25,45.0,31.0,14.0,84.0,36.15,8,532
LAL,UTA,2019-10-25,34,1,16,16,59,39.0,19.0,27.0,78.0,31.68,7,499
MIL,MIA,2019-10-26,24,5,27,8,68,43.0,18.0,36.0,90.0,40.93,4,622
DET,PHI,2019-10-26,38,0,20,30,30,54.0,18.0,17.0,104.0,36.66,8,559
NYK,BOS,2019-10-26,23,1,23,17,47,52.0,37.0,18.0,90.0,35.61,5,582
ATL,ORL,2019-10-26,23,2,15,13,33,29.0,36.0,22.0,110.0,34.959999999999994,2,520
CLE,IND,2019-10-26,30,3,19,22,23,40.0,23.0,17.0,98.0,36.61,4,609
HOU,NOP,2019-10-26,43,2,11,21,26,45.0,35.0,30.0,108.0,37.09,7,589
CHI,TOR,2019-10-26,29,4,7,24,53,38.0,21.0,32.0,76.0,35.04,7,597
SAS,WAS,2019-10-26,26,1,21,8,29,28.0,32.0,25.0,108.0,36.349999999999994,5,567
UTA,SAC,2019-10-26,27,2,17,16,28,37.0,13.0,16.0,82.0,35.22,6,555
PHO,LAC,2019-10-26,29,3,14,14,57,40.0,25.0,31.0,92.0,37.32,4,614
OKC,GSW,2019-10-27,37,1,12,20,34,47.0,22.0,21.0,86.0,36.76,9,650
MEM,BKN,2019-10-27,27,0,29,18,23,34.0,30.0,36.0,110.0,41.099999999999994,9,620
MIN,MIA,2019-10-27,40,3,20,17,32,31.0,29.0,12.0,94.0,34.04,5,574
DAL,POR,2019-10-27,25,1,21,13,52,37.0,26.0,32.0,82.0,36.42,7,481
LAL,CHO,2019-10-27,29,3,12,19,30,20.0,37.0,42.0,118.0,34.2,4,600
NYK,CHI,2019-10-28,31,2,9,18,16,32.0,39.0,21.0,96.0,34.129999999999995,5,581
DET,IND,2019-10-28,26,1,14,12,21,30.0,35.0,19.0,94.0,35.32,3,547
TOR,ORL,2019-10-28,39,2,17,14,44,31.0,15.0,33.0,72.0,36.79,5,589
ATL,PHI,2019-10-28,38,2,15,13,41,41.0,22.0,10.0,88.0,35.86,8,567
MIL,CLE,2019-10-28,20,1,30,9,44,31.0,29.0,35.0,108.0,36.31999999999999,7,554
NOP,GSW,2019-10-28,53,0,14,24,38,41.0,43.0,34.0,128.0,36.93,9,635
HOU,OKC,2019-10-28,22,5,11,13,38,31.0,34.0,22.0,110.0,32.99,7,501
SAS,POR,2019-10-28,27,2,33,24,16,32.0,29.0,40.0,100.0,37.980000000000004,9,534
SAC,DEN,2019-10-28,31,0,13,25,21,23.0,30.0,22.0,82.0,33.599999999999994,3,577
PHO,UTA,2019-10-28,27,3,20,17,61,31.0,11.0,28.0,66.0,36.34,6,556
LAC,CHO,2019-10-28,35,4,20,15,37,57.0,28.0,24.0,92.0,34.46,5,607
MIA,ATL,2019-10-29,44,3,13,19,34,41.0,26.0,18.0,78.0,36.19,7,610
DEN,DAL,2019-10-29,22,2,18,24,24,17.0,32.0,17.0,100.0,32.02,4,547
LAL,MEM,2019-10-29,37,2,21,10,33,40.0,35.0,39.0,90.0,32.22,3,506
CLE,CHI,2019-10-30,23,1,11,4,37,30.0,38.0,23.0,104.0,36.2,5,600
PHI,MIN,2019-10-30,35,4,14,20,25,41.0,34.0,33.0,102.0,33.41,2,551
ORL,NYK,2019-10-30,20,1,15,22,36,26.0,28.0,11.0,58.0,33.06,5,594
TOR,DET,2019-10-30,33,2,18,17,24,43.0,15.0,34.0,108.0,33.44,7,575
BKN,IND,2019-10-30,43,1,27,9,37,44.0,23.0,12.0,112.0,31.96,4,470
BOS,MIL,2019-10-30,27,3,26,11,37,30.0,18.0,18.0,68.0,36.230000000000004,7,600
WAS,HOU,2019-10-30,25,4,13,21,30,40.0,41.0,30.0,114.0,32.46,11,514
OKC,POR,2019-10-30,31,2,24,14,39,27.0,23.0,23.0,74.0,29.02,2,461
SAC,CHO,2019-10-30,30,0,10,14,20,46.0,38.0,27.0,114.0,37.09,9,608
UTA,LAC,2019-10-30,25,2,35,8,25,40.0,18.0,18.0,100.0,35.019999999999996,6,564
GSW,PHO,2019-10-30,36,0,14,9,38,49.0,32.0,43.0,112.0,37.230000000000004,7,657
ATL,MIA,2019-10-31,29,1,18,15,54,43.0,31.0,30.0,102.0,36.21,2,576
NOP,DEN,2019-10-31,34,3,16,9,37,42.0,10.0,57.0,108.0,33.97,3,596
LAC,SAS,2019-10-31,41,2,23,20,26,32.0,21.0,33.0,98.0,35.33,3,506
IND,CLE,2019-11-01,30,1,16,10,30,24.0,16.0,34.0,94.0,37.459999999999994,3,549
BKN,HOU,2019-11-01,29,1,14,15,17,47.0,17.0,32.0,98.0,35.45,4,487
ORL,MIL,2019-11-01,38,2,21,15,48,45.0,21.0,38.0,86.0,33.28,4,493
BOS,NYK,2019-11-01,35,0,9,11,21,18.0,25.0,33.0,72.0,36.3,6,593
CHI,DET,2019-11-01,39,1,22,19,23,38.0,25.0,21.0,106.0,35.83,6,596
DAL,LAL,2019-11-01,36,2,17,15,26,45.0,27.0,25.0,112.0,35.5,5,545
SAC,UTA,2019-11-01,34,0,28,15,32,42.0,21.0,15.0,90.0,35.68,5,495
GSW,SAS,2019-11-01,18,0,23,12,24,24.0,31.0,30.0,84.0,36.84,3,612
OKC,NOP,2019-11-02,49,2,18,21,33,36.0,35.0,15.0,98.0,36.83,3,598
DET,BKN,2019-11-02,28,1,22,14,11,23.0,29.0,21.0,112.0,35.06,4,498
ORL,DEN,2019-11-02,26,1,18,24,19,39.0,22.0,14.0,78.0,34.03,5,579
WAS,MIN,2019-11-02,37,3,20,15,34,42.0,22.0,24.0,80.0,34.81,5,615
MEM,PHO,2019-11-02,43,4,19,13,39,38.0,32.0,31.0,110.0,34.900000000000006,5,537
MIL,TOR,2019-11-02,25,5,16,18,23,30.0,23.0,30.0,80.0,35.11,4,615
GSW,CHO,2019-11-02,37,2,21,14,26,26.0,23.0,17.0,90.0,34.150000000000006,4,608
POR,PHI,2019-11-02,28,2,20,19,26,35.0,24.0,37.0,124.0,35.59,6,567
