home_team,away_team,upvotes,downvotes,date
TOR,NOP,262,33,2019-10-22
LAC,LAL,204,47,2019-10-22
CHO,CHI,52,8,2019-10-23
ORL,CLE,7,11,2019-10-23
IND,DET,12,0,2019-10-23
PHI,BOS,13,16,2019-10-23
MIA,MEM,5,3,2019-10-23
BKN,MIN,65,2,2019-10-23
SAS,NYK,7,5,2019-10-23
DAL,WAS,11,4,2019-10-23
UTA,OKC,8,4,2019-10-23
POR,DEN,20,2,2019-10-23
PHO,SAC,8,9,2019-10-23
DET,ATL,12,5,2019-10-24
HOU,MIL,43,7,2019-10-24
GSW,LAC,12,16,2019-10-24
CHO,MIN,6,6,2019-10-25
BOS,TOR,37,5,2019-10-25
BKN,NYK,18,3,2019-10-25
MEM,CHI,9,1,2019-10-25
NOP,DAL,24,5,2019-10-25
OKC,WAS,3,3,2019-10-25
DEN,PHO,18,2,2019-10-25
SAC,POR,3,2,2019-10-25
LAL,UTA,5,13,2019-10-25
MIL,MIA,46,6,2019-10-26
DET,PHI,14,0,2019-10-26
NYK,BOS,3,6,2019-10-26
ATL,ORL,13,1,2019-10-26
CLE,IND,3,1,2019-10-26
HOU,NOP,14,1,2019-10-26
CHI,TOR,0,7,2019-10-26
SAS,WAS,24,0,2019-10-26
UTA,SAC,2,5,2019-10-26
PHO,LAC,22,1,2019-10-26
OKC,GSW,14,19,2019-10-27
MEM,BKN,59,0,2019-10-27
MIN,MIA,12,2,2019-10-27
DAL,POR,39,6,2019-10-27
LAL,CHO,6,6,2019-10-27
NYK,CHI,30,9,2019-10-28
DET,IND,8,1,2019-10-28
TOR,ORL,4,3,2019-10-28
ATL,PHI,25,2,2019-10-28
MIL,CLE,3,8,2019-10-28
NOP,GSW,9,5,2019-10-28
HOU,OKC,21,6,2019-10-28
SAS,POR,34,2,2019-10-28
SAC,DEN,2,2,2019-10-28
PHO,UTA,9,3,2019-10-28
LAC,CHO,3,3,2019-10-28
MIA,ATL,7,7,2019-10-29
DEN,DAL,30,4,2019-10-29
LAL,MEM,12,11,2019-10-29
CLE,CHI,11,2,2019-10-30
PHI,MIN,6,9,2019-10-30
ORL,NYK,3,7,2019-10-30
TOR,DET,3,4,2019-10-30
BKN,IND,3,7,2019-10-30
BOS,MIL,25,5,2019-10-30
WAS,HOU,45,6,2019-10-30
OKC,POR,10,2,2019-10-30
SAC,CHO,1,5,2019-10-30
UTA,LAC,1,4,2019-10-30
GSW,PHO,5,3,2019-10-30
ATL,MIA,11,2,2019-10-31
NOP,DEN,4,2,2019-10-31
LAC,SAS,15,6,2019-10-31
IND,CLE,2,2,2019-11-01
BKN,HOU,32,2,2019-11-01
ORL,MIL,5,4,2019-11-01
BOS,NYK,24,5,2019-11-01
CHI,DET,7,1,2019-11-01
DAL,LAL,126,3,2019-11-01
SAC,UTA,18,0,2019-11-01
GSW,SAS,4,2,2019-11-01
OKC,NOP,7,4,2019-11-02
DET,BKN,6,4,2019-11-02
ORL,DEN,5,3,2019-11-02
WAS,MIN,0,8,2019-11-02
MEM,PHO,4,1,2019-11-02
MIL,TOR,12,2,2019-11-02
GSW,CHO,3,9,2019-11-02
POR,PHI,70,2,2019-11-02
IND,CHI,6,5,2019-11-03
MIA,HOU,10,7,2019-11-03
NYK,SAC,2,5,2019-11-03
SAS,LAL,16,3,2019-11-03
CLE,DAL,12,1,2019-11-03
LAC,UTA,7,4,2019-11-03
WAS,DET,2,5,2019-11-04
BKN,NOP,10,1,2019-11-04
MEM,HOU,2,2,2019-11-04
MIN,MIL,4,7,2019-11-04
PHO,PHI,34,1,2019-11-04
GSW,POR,19,3,2019-11-04
CLE,BOS,10,5,2019-11-05
CHO,IND,11,6,2019-11-05
ATL,SAS,17,0,2019-11-05
CHI,LAL,25,10,2019-11-05
OKC,ORL,4,1,2019-11-05
DEN,MIA,2,1,2019-11-05
DET,NYK,8,0,2019-11-06
IND,WAS,2,4,2019-11-06
ATL,CHI,2,6,2019-11-06
HOU,GSW,5,5,2019-11-06
TOR,SAC,2,1,2019-11-06
MEM,MIN,3,2,2019-11-06
DAL,ORL,22,2,2019-11-06
UTA,PHI,12,3,2019-11-06
LAC,MIL,15,2,2019-11-06
CHO,BOS,7,3,2019-11-07
SAS,OKC,6,3,2019-11-07
PHO,MIA,10,6,2019-11-07
LAC,POR,16,7,2019-11-07
WAS,CLE,3,1,2019-11-08
IND,DET,3,1,2019-11-08
ORL,MEM,4,2,2019-11-08
ATL,SAC,6,2,2019-11-08
MIN,GSW,31,5,2019-11-08
NOP,TOR,1,2,2019-11-08
DAL,NYK,13,2,2019-11-08
UTA,MIL,38,1,2019-11-08
DEN,PHI,45,5,2019-11-08
POR,BKN,23,5,2019-11-08
LAL,MIA,14,7,2019-11-08
SAS,BOS,10,6,2019-11-09
CHO,NOP,6,4,2019-11-09
MEM,DAL,3,4,2019-11-09
OKC,GSW,9,2,2019-11-09
CHI,HOU,4,8,2019-11-09
MIN,DEN,29,9,2019-11-10
PHI,CHO,1,4,2019-11-10
ORL,IND,6,1,2019-11-10
OKC,MIL,23,1,2019-11-10
NYK,CLE,3,9,2019-11-10
PHO,BKN,3,3,2019-11-10
POR,ATL,12,4,2019-11-10
LAL,TOR,26,5,2019-11-10
DET,MIN,5,2,2019-11-11
BOS,DAL,23,5,2019-11-11
SAS,MEM,7,2,2019-11-11
NOP,HOU,3,5,2019-11-11
LAC,TOR,7,4,2019-11-11
GSW,UTA,1,1,2019-11-11
PHI,CLE,22,2,2019-11-12
IND,OKC,2,5,2019-11-12
MIA,DET,6,2,2019-11-12
CHI,NYK,4,4,2019-11-12
DEN,ATL,13,6,2019-11-12
UTA,BKN,13,3,2019-11-12
PHO,LAL,37,6,2019-11-12
SAC,POR,4,0,2019-11-12
CHO,MEM,16,3,2019-11-13
ORL,PHI,5,3,2019-11-13
HOU,LAC,21,7,2019-11-13
BOS,WAS,10,4,2019-11-13
MIN,SAS,3,9,2019-11-13
LAL,GSW,8,7,2019-11-13
POR,TOR,3,7,2019-11-13
CLE,MIA,4,4,2019-11-14
MIL,CHI,7,3,2019-11-14
NYK,DAL,24,2,2019-11-14
NOP,LAC,22,3,2019-11-14
PHO,ATL,5,1,2019-11-14
DEN,BKN,5,2,2019-11-14
CHO,DET,32,7,2019-11-15
ORL,SAS,11,7,2019-11-15
HOU,IND,7,3,2019-11-15
OKC,PHI,11,3,2019-11-15
MEM,UTA,29,3,2019-11-15
MIN,WAS,2,4,2019-11-15
GSW,BOS,17,8,2019-11-15
LAL,SAC,20,8,2019-11-15
CHI,BKN,9,4,2019-11-16
IND,MIL,6,5,2019-11-16
NYK,CHO,17,0,2019-11-16
MIN,HOU,5,3,2019-11-16
MIA,NOP,3,6,2019-11-16
SAS,POR,19,2,2019-11-16
DAL,TOR,13,2,2019-11-16
LAC,ATL,4,3,2019-11-16
CLE,PHI,2,28,2019-11-17
SAC,BOS,56,2,2019-11-17
MEM,DEN,3,2,2019-11-17
ORL,WAS,7,0,2019-11-17
NOP,GSW,2,5,2019-11-17
LAL,ATL,7,6,2019-11-17
NYK,CLE,7,4,2019-11-18
TOR,CHO,4,1,2019-11-18
BKN,IND,1,7,2019-11-18
CHI,MIL,6,1,2019-11-18
HOU,POR,7,5,2019-11-18
DAL,SAS,37,2,2019-11-18
PHO,BOS,7,2,2019-11-18
UTA,MIN,6,2,2019-11-18
LAC,OKC,26,6,2019-11-18
MEM,GSW,6,6,2019-11-19
NOP,POR,4,4,2019-11-19
SAC,PHO,7,2,2019-11-19
LAL,OKC,18,4,2019-11-19
PHI,NYK,18,4,2019-11-20
WAS,SAS,8,0,2019-11-20
BKN,CHO,2,5,2019-11-20
MIA,CLE,5,3,2019-11-20
DAL,GSW,11,9,2019-11-20
ATL,MIL,2,3,2019-11-20
TOR,ORL,7,1,2019-11-20
CHI,DET,4,4,2019-11-20
MIN,UTA,8,2,2019-11-20
DEN,HOU,11,2,2019-11-20
LAC,BOS,77,7,2019-11-20
MIL,POR,9,3,2019-11-21
PHO,NOP,4,3,2019-11-21
DET,ATL,2,4,2019-11-22
WAS,CHO,3,3,2019-11-22
BKN,SAC,2,5,2019-11-22
OKC,LAL,34,6,2019-11-22
CHI,MIA,3,5,2019-11-22
PHI,SAS,4,1,2019-11-22
DAL,CLE,4,2,2019-11-22
DEN,BOS,6,2,2019-11-22
UTA,GSW,11,0,2019-11-22
LAC,HOU,60,2,2019-11-22
MIN,PHO,12,3,2019-11-23
CHO,CHI,89,2,2019-11-23
IND,ORL,6,2,2019-11-23
PHI,MIA,4,13,2019-11-23
NYK,SAS,3,3,2019-11-23
ATL,TOR,6,0,2019-11-23
MEM,LAL,15,8,2019-11-23
CLE,POR,4,2,2019-11-23
MIL,DET,2,3,2019-11-23
UTA,NOP,3,0,2019-11-23
HOU,DAL,55,10,2019-11-24
NYK,BKN,15,4,2019-11-24
WAS,SAC,3,0,2019-11-24
DEN,PHO,4,0,2019-11-24
LAC,NOP,4,2,2019-11-24
CLE,BKN,6,1,2019-11-25
IND,MEM,3,3,2019-11-25
DET,ORL,2,5,2019-11-25
MIA,CHO,3,3,2019-11-25
ATL,MIN,3,2,2019-11-25
TOR,PHI,24,2,2019-11-25
BOS,SAC,23,0,2019-11-25
CHI,POR,2,3,2019-11-25
MIL,UTA,15,5,2019-11-25
SAS,LAL,11,4,2019-11-25
GSW,OKC,18,3,2019-11-25
DAL,LAC,9,12,2019-11-26
DEN,WAS,2,4,2019-11-26
BOS,BKN,6,4,2019-11-27
CHO,DET,7,1,2019-11-27
CLE,ORL,1,2,2019-11-27
PHI,SAC,1,1,2019-11-27
IND,UTA,3,2,2019-11-27
