team,wins,p_wins,SRS
TOR,60.361111111111114,56.94444444444444,5.97
LAC,55.80555555555556,56.94444444444444,6.66
CHO,29.015384615384615,23.96923076923077,-7.03
ORL,37.06849315068493,38.19178082191781,-0.93
IND,50.54794520547945,46.054794520547944,1.63
PHI,48.3013698630137,47.178082191780824,2.25
MIA,49.42465753424658,48.3013698630137,2.59
SAS,36.95774647887324,38.11267605633803,-0.65
DAL,47.013333333333335,53.57333333333333,4.87
UTA,50.111111111111114,47.833333333333336,2.52
POR,38.78378378378378,37.67567567567568,-0.61
PHO,38.19178082191781,41.56164383561644,0.56
DET,24.848484848484848,32.303030303030305,-4.38
HOU,50.111111111111114,47.833333333333336,3.13
GSW,18.923076923076923,20.184615384615384,-8.12
BOS,54.666666666666664,56.94444444444444,5.83
MEM,38.19178082191781,38.19178082191781,-0.91
NOP,34.166666666666664,37.583333333333336,-0.55
OKC,50.111111111111114,46.69444444444444,2.33
DEN,51.67123287671233,46.054794520547944,2.35
SAC,35.30555555555556,35.30555555555556,-1.59
LAL,60.056338028169016,55.436619718309856,6.28
MIL,62.9041095890411,64.02739726027397,9.41
NYK,26.09090909090909,24.848484848484848,-6.72
ATL,24.47761194029851,22.029850746268657,-7.71
CLE,23.96923076923077,22.70769230769231,-7.77
CHI,27.753846153846155,32.8,-4.0
MIN,24.34375,30.75,-4.02
WAS,28.47222222222222,29.61111111111111,-5.24
